Lektion;Englisch;Deutsch
2_6 Towns and cities;a statue;eine Statue
2_6 Towns and cities;a supermarket;ein Supermarkt
2_6 Towns and cities;a theatre;ein Theater
2_6 Towns and cities;a train station;ein Bahnhof
2_6 Towns and cities;I saw a funny film.;Ich habe einen lustigen Film gesehen.
2_6 Towns and cities;I had an ice cream.;Ich habe ein Eis gegessen.
2_6 Towns and cities;I played football.;Ich habe Fußball gespielt.
2_6 Towns and cities;Shall we go to the cinema?;Sollen wir ins Kino gehen?
2_6 Towns and cities;Yes, good idea.;Ja, gute Idee.
2_6 Towns and cities;I was tired.;Ich war müde.
2_6 Towns and cities;I went to bed at 9 o'clock.;Ich bin um 9 Uhr ins Bett gegangen.

2_7 Story time;a giant;ein Riese
2_7 Story time;a crown;eine Krone
2_7 Story time;a witch;eine Hexe
2_7 Story time;a wizard;ein Zauberer
2_7 Story time;a queen;eine Königin
2_7 Story time;a king;ein König
2_7 Story time;a dragon;ein Drache
2_7 Story time;a princess;eine Prinzessin
2_7 Story time;a prince;ein Prinz
2_7 Story time;a sword;ein Schwert
2_7 Story time;a rich man;ein reicher Mann
2_7 Story time;a poor man;ein armer Mann
2_7 Story time;an old man;ein alter Mann
2_7 Story time;a young man;ein junger Mann
2_7 Story time;a fat man;ein dicker Mann
2_7 Story time;a thin man;ein dünner Mann
2_7 Story time;a coin;eine Münze
2_7 Story time;money;Geld
2_7 Story time;fifty pence;fünfzig Pence
2_7 Story time;five pounds;fünf Pfund
2_7 Story time;How much is it?;Wie viel kostet es?
2_7 Story time;It's three pounds, please.;Das macht bitte drei Pfund.
2_7 Story time;beans;Bohnen
2_7 Story time;library;Bibliothek

2_8 Journeys and transport;a plane;ein Flugzeug
2_8 Journeys and transport;a helicopter;ein Hubschrauber
2_8 Journeys and transport;a ship;ein Schiff
2_8 Journeys and transport;wings;Flügel
2_8 Journeys and transport;in the air;in der Luft
2_8 Journeys and transport;an island;eine Insel
2_8 Journeys and transport;an engine;ein Motor
2_8 Journeys and transport;a car;ein Auto
2_8 Journeys and transport;a wheel;ein Rad
2_8 Journeys and transport;a yacht;eine Yacht
2_8 Journeys and transport;on the water;auf dem Wasser
2_8 Journeys and transport;a rock;ein Felsen
2_8 Journeys and transport;a truck;ein Lastwagen
2_8 Journeys and transport;a motorbike;ein Motorrad
2_8 Journeys and transport;a train;ein Zug
2_8 Journeys and transport;under the ground;unter der Erde
2_8 Journeys and transport;My truck is bigger than your truck.;Mein Lastwagen ist größer als deiner.
2_8 Journeys and transport;a fast car;ein schnelles Auto
2_8 Journeys and transport;a slow car;ein langsames Auto
2_8 Journeys and transport;on land;an Land
2_8 Journeys and transport;a hospital;ein Krankenhaus
2_8 Journeys and transport;a rescue;eine Rettung

2_9 Fit and healthy;shoulder;Schulter
2_9 Fit and healthy;back;Rücken
2_9 Fit and healthy;elbow;Ellbogen
2_9 Fit and healthy;knee;Knie
2_9 Fit and healthy;ankle;Knöchel
2_9 Fit and healthy;stomach;Bauch
2_9 Fit and healthy;You should do more exercise.;Du solltest mehr Sport machen.
2_9 Fit and healthy;You shouldn't eat sweets.;Du solltest keine Süßigkeiten essen.
2_9 Fit and healthy;What's the matter?;Was ist los?
2_9 Fit and healthy;I've got a cold.;Ich bin erkältet.
2_9 Fit and healthy;I've got backache.;Ich habe Rückenschmerzen.
2_9 Fit and healthy;I've got earache.;Ich habe Ohrenschmerzen.
2_9 Fit and healthy;I've got a headache.;Ich habe Kopfschmerzen.
2_9 Fit and healthy;I've got toothache.;Ich habe Zahnschmerzen.
2_9 Fit and healthy;I've got stomach ache.;Ich habe Bauchschmerzen.
2_9 Fit and healthy;a bone;ein Knochen
2_9 Fit and healthy;a doctor;ein Arzt
2_9 Fit and healthy;a dentist;ein Zahnarzt
2_9 Fit and healthy;exercise;Sport
2_9 Fit and healthy;a cow;eine Kuh
2_9 Fit and healthy;a pig;ein Schwein
2_9 Fit and healthy;a cockerel;ein Hahn
2_9 Fit and healthy;a hen;eine Henne
